TrainingEventId,TrainingProgramId,HostingBranchId,StartDate,EndDate,Capacity,EventStatus,DeliveryMethod
5233,9,4,2025-05-06,2025-05-07,20,Completed,Online
5234,8,2,2025-11-14,2025-11-16,35,Completed,Classroom
5235,3,6,2026-01-12,2026-01-13,25,Completed,Online
5236,2,2,2025-11-29,2025-11-29,30,Completed,Classroom
5237,12,3,2026-07-14,2026-07-16,40,Completed,Online
5238,12,5,2025-05-15,2025-05-17,50,Completed,Online
5239,2,5,2026-01-16,2026-01-16,40,Completed,Hybrid
5240,5,1,2025-05-13,2025-05-15,50,Completed,Classroom
5241,1,2,2026-01-23,2026-01-23,20,Cancelled,Online
5242,7,6,2025-02-19,2025-02-19,35,Completed,Classroom
5243,9,6,2025-07-18,2025-07-19,40,Completed,Online
5244,11,5,2025-05-24,2025-05-26,30,Completed,Hybrid
5245,8,5,2025-02-17,2025-02-19,50,Completed,Classroom
5246,10,1,2026-06-15,2026-06-15,50,Completed,Online
5247,7,2,2026-08-18,2026-08-18,30,Completed,Online
5248,7,1,2025-11-07,2025-11-07,25,Completed,Hybrid
5249,8,1,2025-02-10,2025-02-12,35,Completed,Online
5250,1,4,2025-06-28,2025-06-28,50,Completed,Classroom
